A:	Alay
AA:	Anadolu Ajansı
AADFI:	bk. AKBB
AAET:	Avrupa Atom Enerjisi Topluluğu
AAFSE:	bk. GAMHK (Allied Air Forces Southern Europe)
AB:	1. Adalet Bakanlığı 2. Amerikan Borsası 3. Avrupa Birliği
ABB:	Avrupa Birliği Bankası
ABD:	Ana bilim dalı
ABGS:	Avrupa Birliği Genel Sekreterliği
ABKF:	Avrupa Bölgesel Kalkınma Fonu
ABÖ:	Afrika Birliği Örgütü
ABS:	Motorlu taşıtlarda fren sistemi (Antilock Braking System)
ACU:	bk. ATB (Asian Clearing Union)
ACÜ:	Acıbadem Üniversitesi
AÇSAP:	Ana Çocuk Sağlığı ve Aile Planlaması Genel Müdürlüğü
ADB:	bk. AKB (African Development Bank)
ADFD:	bk. ADKF (Abu Dhabi Fund For Development)
ADKF:	Abu Dabi Kalkınma Fonu
ADSL:	Asimetrik sayısal abone hattı (Asymmetric Digital Subscriber Line)
ADÜ:	Adnan Menderes Üniversitesi
ADYÜ:	Adıyaman Üniversitesi
AEGM:	Kültür ve Turizm Bakanlığı Araştırma ve Eğitim Genel Müdürlüğü
AEİBÖ:	Avrupa Ekonomik İş Birliği Örgütü
AEK:	bk. BMAEK
AET:	Avrupa Ekonomik Topluluğu
AEÜ:	Ahi Evran Üniversitesi
AFAD:	Afet ve Acil Durum Yönetimi Başkanlığı
AFFB:	Avrupa Futbol Federasyonları Birliği
AFİF:	Akaryakıt Fiyat İstikrar Fonu
AFP:	bk. FBA (Agence France Press)
age.:	Adı geçen eser
AGİK:	Avrupa Güvenlik ve İş Birliği Konferansı
AGİT:	Avrupa Güvenlik ve İş Birliği Teşkilatı
AGM:	Ağaçlandırma ve Erozyon Kontrolü Genel Müdürlüğü
agm.:	Adı geçen makale
agy.:	Adı geçen yayın
AI:	bk. UAT (Amnesty International)
AİBÖ:	Avrupa İş Birliği Örgütü
AİBÜ:	Abant İzzet Baysal Üniversitesi
AİÇÜ:	Ağrı İbrahim Çeçen Üniversitesi
AID:	bk. UKA (Agency for International Development)
AIDS:	Edinilmiş bağışıklık yetersizliği belirtisi (Acquired immune deficiency syndrome)
AİHAD:	Avrupa İnsan Hakları Adalet Divanı
AİHM:	Avrupa İnsan Hakları Mahkemesi
AİHS:	Avrupa İnsan Hakları Sözleşmesi
AİK:	Afrika İktisat Komisyonu
AİKB:	Avrupa İmar ve Kalkınma Bankası
AİPB:	Avrupa İktisadi ve Parasal Birliği
AK:	Avrupa Konseyi
AKB:	Afrika Kalkınma Bankası
AKBB:	Afrika Kalkınma Bankaları Birliği
AKBİL:	Akıllı bilet
AKÇT:	Avrupa Kömür ve Çelik Topluluğu
AKD:	Akdeniz Üniversitesi
AKDTYK:	Atatürk Kültür, Dil ve Tarih Yüksek Kurumu
